1,1.985294
1,2.316176
1,2.757353
1,3.198529
1,3.694853
1,4.080883
1,4.522059
1,5.073529
1,5.514706
1,5.845588
1,6.397059
1,6.783088
1,7.279412
1,7.610294
1,8.051471
1,8.492647
1,8.988971
1,9.485294
1,9.871324
1,10.3125
1,10.69853
1,11.19485
1,11.63603
1,12.13235
1,12.46324
1,12.90441
1,13.40074
1,13.89706
1,14.33824
1,14.77941
1,15.16544
1,15.71691
2,15.82721
1,16.04779
1,16.48897
1,16.98529
1,17.26103
2,17.48162
1,17.59191
2,17.86765
1,18.25368
1,18.69485
1,19.24632
2,19.30147
1,19.63235
1,20.07353
1,20.51471
1,20.90074
1,21.34191
1,21.78309
1,22.27941
1,22.66544
2,22.88603
1,23.10662
1,23.60294
1,23.98897
1,24.31985
2,24.54044
1,24.65074
2,24.87132
1,25.36765
1,25.80882
1,26.19485
1,26.74632
2,27.13235
1,27.57353
2,28.01471
1,28.45588
2,28.89706
1,29.22794
2,29.83456
1,30.05515
2,30.16544
1,30.66176
1,31.04779
2,31.26838
1,31.48897
2,31.76471
1,31.93015
1,32.37132
1,32.86765
2,33.30882
1,33.52941
2,33.75
1,34.19118
1,34.63235
1,35.07353
2,35.45956
1,35.95588
2,36.28677
1,36.78309
2,37.05882
1,37.22427
1,37.72059
1,38.10662
2,38.49265
1,38.65809
2,38.76838
1,39.09927
1,39.48529
1,39.92647
2,40.20221
1,40.3125
2,40.53309
1,40.75368
1,41.25
1,41.63603
2,42.13235
1,42.51838
2,42.68382
1,42.73897
1,43.40073
1,43.78677
1,44.33823
1,44.55882
1,45.22059
1,45.60662
1,46.04779
2,46.32353
1,46.26838
1,46.98529
1,47.31618
1,47.8125
2,48.08823
1,48.75
1,49.24632
2,49.63235
1,49.85294
1,50.45956
2,50.68015
1,51.34191
2,51.67279
1,52.27941
2,52.55515
1,53.10662
2,53.21691
1,53.54779
1,53.98897
1,54.43015
1,54.92647
1,55.69853
2,55.91912
1,56.13971
